magnitude count
1.0010351040203414e-06 1
1.1834229137300003e-06 0
1.3990416391159298e-06 0
1.6539459269137966e-06 0
1.9552935757389963e-06 0
2.3115465294927097e-06 0
2.732708491608647e-06 0
3.23060583242894e-06 1
3.819219677683252e-06 0
4.5150785032280185e-06 1
5.337722260238751e-06 1
6.31025106364788e-06 0
7.459973851185019e-06 1
8.819175227584817e-06 1
1.0426022027207334e-05 5
1.2325635051655637e-05 6
1.4571356077145684e-05 9
1.7226245709623672e-05 14
2.0364854147909594e-05 15
2.407531457849447e-05 13
2.8461817985225545e-05 13
3.364753886737233e-05 20
3.977809402122639e-05 22
4.702563150899158e-05 28
5.559366463459535e-05 38
6.572278666609531e-05 44
7.769742677601969e-05 53
9.185383690873254e-05 60
0.00010858953384875866 74
0.0001283744616265418 101
0.0001517641877057641 96
0.00017941550350563195 123
0.00021210486732606686 103
0.000250750207559383 129
0.000296436698430006 175
0.0003504472320537228 180
0.0004142984424821961 180
0.0004897832933000904 179
0.000579021424648951 200
0.0006845186734392816 244
0.0008092374380985235 280
0.0009566798637208382 259
0.0011309861834858572 257
0.001337050977806678 320
0.0015806606158033113 316
0.001868655738504653 304
0.0022091233463622123 334
0.0026116238849580005 333
0.0030874597055500033 324
0.0036499924389182133 319
0.004315018194476118 320
0.005101211120365592 305
0.006030647779852745 313
0.007129427068691159 315
0.008428403080941895 288
0.009964051502370177 278
0.011779493860038587 278
0.013925708389371572 257
0.016462961520248114 257
0.019462500178735992 230
0.023008552424873176 203
0.027200692605081286 200
0.03215663743349136 171
0.03801555151709071 165
0.04494195514495587 152
0.05313034407361394 145
0.06281065103366844 120
0.07425470231864303 101
0.0877838507592404 105
0.10377799941951764 88
0.12268626940341568 86
0.14503961132726065 66
0.17146571459264798 55
0.20270663311713868 62
0.23963962245924175 38
0.2833017734512039 32
0.3349191340603457 37
0.3959411372306569 27
0.4680813014500962 23
0.5533653469292793 24
0.6541880785101363 16
0.7733806325958414 10
0.9142899764185728 5
1.0808728920114017 12
1.27780708398605 9
1.5106225310604906 12
1.7858567697316903 4
2.111238470511597 2
2.4959044616091037 3
2.9506562941564263 1
3.488263553418216 2
4.12382243306471 2
4.875179641395883 1
5.763433542946619 3
6.813526607698788 0
8.054945804074356 0
9.52255060298186 0
11.257551843549706 0
13.308668947427254 0
15.733497976622733 1
